"Match_Importance","Rank_Med","Rank_Opp","Log_Rank_Med","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Med","Pre_Med","Pre5_Med","Pre_Opp","Pre5_Opp","Odd_Med","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,49,124,3.89182029811063,4.82028156560504,1,0,1,0,0,27.2727272727273,28.5714285714286,50,1,0.8,1,0.6,1.14,5.5,1,0,0
90,50,130,3.91202300542815,4.86753445045558,0,1,0,0,0,33.3333333333333,36.3636363636364,50,0,0.6,0,0,1.44,2.62,1,1,1
90,50,34,3.91202300542815,3.52636052461616,0,1,0,0,0,51.4450867052023,50.4347826086956,100,1,0.6,0,0.6,2.2,1.61,0,0,1
90,50,11,3.91202300542815,2.39789527279837,0,1,0,0,0,59.3333333333333,60.2484472049689,0,1,0.6,1,0.6,3.4,1.33,0,0,1
180,50,8,3.91202300542815,2.07944154167984,0,1,0,0,0,63.7037037037037,58.5365853658537,0,1,0.8,1,0.8,3.4,1.33,0,1,0
90,48,42,3.87120101090789,3.73766961828337,0,1,0,0,0,44.4954128440367,45.4545454545455,0,0,0.6,0,0.4,1.57,2.25,1,0,0
90,51,25,3.93182563272433,3.2188758248682,0,1,0,0,0,50.8771929824561,41.2213740458015,50,0,0.6,0,0.8,1.83,1.83,1,0,0
45,53,45,3.97029191355212,3.80666248977032,0,1,0,0,0,43.0769230769231,45.4545454545455,50,0,0.4,1,0.4,2.25,1.57,0,1,0
90,54,69,3.98898404656427,4.23410650459726,1,1,0,0,0,0,62.5,50,0,0.2,0,0.8,2.1,1.72,0,1,0
45,62,70,4.12713438504509,4.24849524204936,0,0,0,0,1,18.1818181818182,0,50,0,0,0,0.4,1.28,3.5,1,0,0
90,64,44,4.15888308335967,3.78418963391826,0,1,0,0,0,53.015873015873,55.3072625698324,50,0,0,0,0.6,2.37,1.53,0,1,0
90,64,24,4.15888308335967,3.17805383034795,0,1,0,0,0,55.4455445544555,48.936170212766,0,0,0,0,0.4,3,1.36,0,1,0
45,67,95,4.20469261939097,4.55387689160054,0,0,0,0,1,39.8230088495575,34.6153846153846,50,0,0,0,0.2,2.2,1.61,0,0,1
45,67,11,4.20469261939097,2.39789527279837,0,0,0,0,1,62.8205128205128,75,50,1,0.2,0,0.4,2.37,1.53,0,0,1
90,67,209,4.20469261939097,5.34233425196481,0,0,0,0,1,44.4444444444444,60,50,1,0.4,1,0.4,1.25,4,1,0,0
45,84,29,4.43081679884331,3.36729582998647,0,1,0,0,0,57.2232645403377,53.7444933920705,0,0,0.4,0,0.6,2.25,1.57,0,0,1
45,84,55,4.43081679884331,4.00733318523247,0,1,0,0,0,44.4444444444444,49.0566037735849,50,1,0.6,1,0.4,1.83,1.83,1,1,1
90,84,45,4.43081679884331,3.80666248977032,0,1,0,0,0,40,30.9859154929577,50,1,0.8,1,0.4,1.5,2.62,1,1,1
150,84,27,4.43081679884331,3.29583686600433,0,1,0,0,0,51.5587529976019,42.5531914893617,0,1,0.8,1,0.6,2,1.8,0,0,1
250,84,167,4.43081679884331,5.11799381241676,0,1,0,0,0,77.7777777777778,66.6666666666667,50,1,0.8,1,0.8,2.2,1.66,0,0,1
90,53,216,3.97029191355212,5.37527840768417,1,1,0,0,0,40,48.2758620689655,100,1,1,0,0.6,2.2,1.66,0,0,1
90,53,58,3.97029191355212,4.06044301054642,1,1,0,0,0,41.6666666666667,45.2380952380952,50,1,1,0,0.6,2.75,1.44,0,1,0
45,56,33,4.02535169073515,3.49650756146648,0,0,0,0,1,63.5701275045537,64.7887323943662,50,0,0.8,0,0.6,3,1.36,0,1,0
90,57,28,4.04305126783455,3.3322045101752,0,0,0,0,1,52.5773195876289,51.4705882352941,50,0,0.6,0,0.6,1.72,2,1,1,1
90,57,80,4.04305126783455,4.38202663467388,0,0,0,0,1,36,41.3793103448276,50,1,0.6,0,0.4,1.53,2.37,1,1,1
180,57,81,4.04305126783455,4.39444915467244,0,0,0,0,1,48.1854838709677,46.7889908256881,50,1,0.6,1,0.6,1.8,2,1,0,0
90,57,52,4.04305126783455,3.95124371858143,0,1,0,0,0,50.5154639175258,50,100,0,0.4,0,0.6,1.9,1.8,0,0,1
90,57,108,4.04305126783455,4.68213122712422,0,1,0,0,0,33.3333333333333,33.3333333333333,50,1,0.6,0,0.2,1.4,2.75,1,1,1
180,57,14,4.04305126783455,2.63905732961526,0,1,0,0,0,57.7777777777778,60.8695652173913,100,1,0.8,1,0.4,2,1.72,0,1,0
90,52,70,3.95124371858143,4.24849524204936,0,1,0,0,0,36.3636363636364,42.8571428571429,50,0,0.6,0,0.6,1.72,2,1,1,1
90,52,5,3.95124371858143,1.6094379124341,0,1,0,0,0,63.6363636363636,62.6865671641791,0,1,0.6,0,0.6,3,1.36,0,1,0
90,49,59,3.89182029811063,4.07753744390572,0,0,0,1,0,34.7826086956522,25,50,0,0.6,0,0.2,2,1.72,0,0,1
90,49,36,3.89182029811063,3.58351893845611,0,0,0,1,0,68.695652173913,71.875,50,1,0.6,1,0.4,3.5,1.28,0,1,0
45,50,68,3.91202300542815,4.21950770517611,0,0,0,1,0,44.8559670781893,46.6666666666667,50,0,0.4,0,0.6,2.1,1.66,0,1,0
90,51,22,3.93182563272433,3.09104245335832,0,0,0,1,0,46.7391304347826,53.8461538461538,0,0,0.4,0,0.4,3,1.36,0,1,0
90,50,44,3.91202300542815,3.78418963391826,0,0,0,1,0,46.875,50.3759398496241,100,0,0.2,0,0.2,2.25,1.57,0,1,0
90,53,16,3.97029191355212,2.77258872223978,1,0,0,1,0,50,56.5217391304348,0,0,0.2,0,0.2,4.5,1.2,0,1,0
45,52,84,3.95124371858143,4.43081679884331,0,0,1,0,0,41.6666666666667,0,50,0,0,0,0.4,1.33,3.25,1,1,1
45,52,34,3.95124371858143,3.52636052461616,0,0,1,0,0,55.3654743390358,56.578947368421,100,1,0.2,0,0.6,1.57,2.25,1,0,0
90,53,14,3.97029191355212,2.63905732961526,0,0,1,0,0,59.5238095238095,55.5555555555556,50,0,0.2,0,0.2,1.66,2.1,1,1,1
90,53,61,3.97029191355212,4.11087386417331,0,0,1,0,0,47.7900552486188,47.9166666666667,50,1,0.4,1,0.8,1.8,1.9,1,0,0
45,59,42,4.07753744390572,3.73766961828337,0,0,1,0,0,51.9047619047619,53.8461538461538,100,0,0.4,0,0.4,1.83,1.83,1,0,0
90,67,20,4.20469261939097,2.99573227355399,1,0,1,0,0,44,46.1538461538462,50,0,0.4,1,0.8,4.5,1.22,0,0,1
90,67,65,4.20469261939097,4.17438726989564,1,0,1,0,0,43.4782608695652,48.2758620689655,50,1,0.4,1,0.6,1.33,3.5,1,1,1
180,67,26,4.20469261939097,3.25809653802148,1,0,1,0,0,43.859649122807,56.7164179104478,0,1,0.6,1,0.8,1.8,2,1,0,0
90,63,287,4.14313472639153,5.65948221575962,0,1,0,0,0,0,0,50,0,0.4,0,0,1.36,3,1,1,1
90,63,26,4.14313472639153,3.25809653802148,0,1,0,0,0,51.1111111111111,58.6206896551724,0,1,0.6,0,0.4,2.5,1.5,0,1,0
90,68,19,4.21950770517611,2.94443897916644,0,1,0,0,0,59.2417061611374,57.2519083969466,100,0,0.6,0,0,1.53,2.37,1,1,1
90,68,133,4.21950770517611,4.89034912822175,0,1,0,0,0,40,66.6666666666667,50,1,0.6,1,0.6,1.57,2.25,1,1,1
180,68,3,4.21950770517611,1.09861228866811,0,1,0,0,0,67.1794871794872,66.6666666666667,0,1,0.6,1,1,5.5,1.14,0,1,0
90,56,21,4.02535169073515,3.04452243772342,0,1,0,0,0,52.9411764705882,53.6585365853659,100,0,0.6,0,0.4,2.75,1.4,0,1,0
45,57,81,4.04305126783455,4.39444915467244,0,1,0,0,0,48.4848484848485,37.5,0,0,0.4,0,0.2,1.4,2.75,1,1,1
45,57,43,4.04305126783455,3.76120011569356,0,1,0,0,0,58.3333333333333,58.3333333333333,100,1,0.6,0,0.8,2,1.72,0,0,1
45,57,118,4.04305126783455,4.77068462446567,0,1,0,0,0,37.5,33.3333333333333,50,1,0.6,1,0.2,1.33,3.4,1,1,1
90,57,56,4.04305126783455,4.02535169073515,0,1,0,0,0,44.6601941747573,45.2702702702703,50,1,0.6,1,0.6,2,1.8,0,0,1
150,57,76,4.04305126783455,4.33073334028633,0,1,0,0,0,43.1034482758621,35,50,1,0.8,1,0.8,1.44,2.75,1,1,1
250,57,34,4.04305126783455,3.52636052461616,0,1,0,0,0,52.7027027027027,50,75,1,1,1,0.6,2,1.8,0,0,1
90,36,80,3.58351893845611,4.38202663467388,1,1,0,0,0,32,40.7407407407407,50,1,1,0,0.4,1.36,3.2,1,1,1
90,36,15,3.58351893845611,2.70805020110221,1,1,0,0,0,50,55.5555555555556,100,1,1,1,0.6,2.37,1.57,0,0,1
180,36,20,3.58351893845611,2.99573227355399,1,1,0,0,0,46.4285714285714,54.6511627906977,50,1,1,1,0.6,2.3,1.61,0,1,0
45,35,49,3.55534806148941,3.89182029811063,0,0,0,0,1,44.9612403100775,54.6875,0,0,0.8,0,0.4,1.57,2.25,1,1,1
45,35,87,3.55534806148941,4.46590811865458,0,0,0,0,1,42.3280423280423,57.1428571428571,50,1,0.8,0,0.6,1.36,3,1,1,1
90,35,8,3.55534806148941,2.07944154167984,0,0,0,0,1,61.1111111111111,47.9166666666667,50,1,0.8,1,0.8,2.5,1.53,0,1,0
90,32,14,3.46573590279973,2.63905732961526,0,1,0,0,0,50.354609929078,51.5625,50,0,0.6,0,0.4,1.66,2.1,1,1,1
90,32,51,3.46573590279973,3.93182563272433,0,1,0,0,0,52.7173913043478,34.375,50,1,0.6,1,0.8,1.72,2,1,1,1
180,32,20,3.46573590279973,2.99573227355399,0,1,0,0,0,68.1957186544342,70.8133971291866,50,1,0.8,1,0.8,2.75,1.44,0,0,1
300,32,31,3.46573590279973,3.43398720448515,0,1,0,0,0,55.7377049180328,61.3636363636364,0,1,0.8,1,0.8,1.72,2.1,1,1,1
500,32,12,3.46573590279973,2.484906649788,0,1,0,0,0,68.733153638814,68.3333333333333,0,1,0.8,1,0.8,3.2,1.36,0,0,1
90,22,216,3.09104245335832,5.37527840768417,0,1,0,0,0,10,10,50,1,1,0,0,1.11,6.5,1,1,1
