"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,4,155,1.38629436111989,5.04342511691925,1,0,0,1,0,11.1111111111111,31.4285714285714,50,0,0.6,0,0.4,1.06,10,1,1,1
90,4,129,1.38629436111989,4.85981240436167,1,0,0,1,0,50,40,50,1,0.6,1,0.2,1.08,8,1,1,1
180,4,71,1.38629436111989,4.26267987704132,1,0,0,1,0,25,55.5555555555556,50,1,0.6,1,0.6,1.13,6,1,1,1
360,4,35,1.38629436111989,3.55534806148941,1,0,0,1,0,33.3333333333333,56.9444444444444,50,1,0.8,1,1,1.44,2.75,1,1,1
720,4,6,1.38629436111989,1.79175946922805,1,0,0,1,0,64.7058823529412,63.265306122449,80,1,0.8,1,0.8,1.73,2.1,1,1,1
1200,4,27,1.38629436111989,3.29583686600433,1,0,0,1,0,73.7864077669903,71.875,33.3333333333333,1,1,1,1,1.91,1.91,1,1,1
2000,4,3,1.38629436111989,1.09861228866811,1,0,0,1,0,88.9784946236559,81.3725490196078,0,1,1,1,1,4.8,1.2,0,1,0
