"Match_Importance","Rank_Djo","Rank_Opp","Log_Rank_Djo","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Odd_Djo","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,28,110,3.3322045101752,4.70048036579242,0,0,0,1,0,39.2857142857143,39.344262295082,50,1,1,1,0.4,1.1,6.5,1,1,1
150,28,42,3.3322045101752,3.73766961828337,0,0,0,1,0,70.1754385964912,74.054054054054,50,1,1,1,0.8,1.66,2.1,1,1,1
90,24,15,3.17805383034795,2.70805020110221,0,1,0,0,0,58.7628865979381,58.3333333333333,50,1,1,0,0.6,1.72,2,1,1,1
90,24,52,3.17805383034795,3.95124371858143,0,1,0,0,0,48.8372093023256,47.0588235294118,50,1,1,1,0.2,1.28,3.5,1,0,0
90,23,577,3.13549421592915,6.3578422665081,1,1,0,0,0,0,0,50,0,0.8,0,0,1.03,11,1,1,1
90,23,60,3.13549421592915,4.0943445622221,1,1,0,0,0,48.1481481481481,53.3333333333333,50,1,0.8,1,0.6,1.53,2.37,1,1,1
180,23,17,3.13549421592915,2.83321334405622,1,1,0,0,0,78.2178217821782,77.8947368421053,50,1,0.8,1,0.8,2.1,1.66,0,1,0
45,22,67,3.09104245335832,4.20469261939097,0,0,0,0,1,33.3333333333333,20,50,0,0.6,1,0.4,1.25,3.5,1,1,1
45,22,66,3.09104245335832,4.18965474202643,0,0,0,0,1,45.4545454545455,75,50,1,0.6,1,0.2,1.19,4.33,1,1,1
90,22,265,3.09104245335832,5.57972982598622,0,0,0,0,1,100,100,50,1,0.8,1,0.4,1.07,7.5,1,1,1
150,22,35,3.09104245335832,3.55534806148941,0,0,0,0,1,60,67.3076923076923,0,1,0.8,1,0.8,1.5,2.5,1,1,1
250,22,48,3.09104245335832,3.87120101090789,0,0,0,0,1,50.9803921568627,44.8275862068966,50,1,0.8,1,1,1.33,3.25,1,1,1
90,16,146,2.77258872223978,4.98360662170834,0,0,0,0,1,29.3333333333333,11.1111111111111,100,1,1,0,0.4,1.08,6.5,1,1,1
90,16,44,2.77258872223978,3.78418963391826,0,0,0,0,1,49.1803278688525,50,50,1,1,1,0.6,1.36,3,1,0,0
90,17,27,2.83321334405622,3.29583686600433,0,0,0,0,1,62.6373626373626,62.5,50,0,0.8,1,0.6,2.25,1.57,0,0,1
180,17,19,2.83321334405622,2.94443897916644,0,0,0,0,1,61.9047619047619,81.25,50,1,0.8,1,0.4,2.1,1.66,0,0,1
360,17,10,2.83321334405622,2.30258509299405,0,0,0,0,1,60,56.6666666666667,50,1,0.8,1,0.8,1.66,2.1,1,0,0
45,16,76,2.77258872223978,4.33073334028633,0,1,0,0,0,0,25,50,0,0.6,0,0.2,1.08,6.5,1,1,1
45,16,200,2.77258872223978,5.29831736654804,0,1,0,0,0,100,50,50,1,0.6,1,0.2,1.08,6.5,1,1,1
90,16,70,2.77258872223978,4.24849524204936,0,1,0,0,0,42.3076923076923,42.3076923076923,50,1,0.8,1,0.6,1.16,4.5,1,1,1
150,16,193,2.77258872223978,5.26269018890489,0,1,0,0,0,58.3333333333333,63.1578947368421,50,1,0.8,1,0.6,1.57,2.25,1,1,1
250,16,153,2.77258872223978,5.03043792139244,0,1,0,0,0,62.5,53.3333333333333,50,1,0.8,1,0.8,1.22,4,1,1,1
90,15,43,2.70805020110221,3.76120011569356,1,1,0,0,0,51.2820512820513,49.2957746478873,100,1,1,0,0.2,1.22,4,1,1,1
90,15,79,2.70805020110221,4.36944785246702,1,1,0,0,0,58.695652173913,50,50,1,1,1,0.4,1.14,5,1,1,1
180,15,102,2.70805020110221,4.62497281328427,1,1,0,0,0,42.8571428571429,31.5789473684211,50,1,1,1,0.6,1.06,8,1,1,1
360,15,1,2.70805020110221,0,1,1,0,0,0,84.7826086956522,87.1287128712871,0,1,1,1,1,9,1.05,0,1,0
45,14,22,2.63905732961526,3.09104245335832,0,0,0,0,1,51.0869565217391,48.1481481481481,100,0,0.8,0,0.6,1.5,2.5,1,0,0
90,14,67,2.63905732961526,4.20469261939097,0,0,0,0,1,50,33.3333333333333,0,0,0.6,0,0.4,1.16,4.5,1,1,1
90,14,120,2.63905732961526,4.78749174278205,0,0,0,0,1,50.7853403141361,50,50,1,0.6,1,0.4,1.16,4.5,1,1,1
180,14,7,2.63905732961526,1.94591014905531,0,0,0,0,1,63.2727272727273,52.3809523809524,100,1,0.6,1,0.8,1.61,2.2,1,1,1
300,14,22,2.63905732961526,3.09104245335832,0,0,0,0,1,52.1052631578947,54.5454545454545,50,1,0.6,1,0.8,1.66,2.1,1,0,0
90,14,49,2.63905732961526,3.89182029811063,0,1,0,0,0,53.4883720930233,51.6129032258064,50,0,0.6,0,0.4,1.25,3.5,1,1,1
90,14,98,2.63905732961526,4.58496747867057,0,1,0,0,0,54.0856031128405,58.3892617449664,50,1,0.8,1,0.4,1.08,7,1,1,1
180,14,1,2.63905732961526,0,0,1,0,0,0,86,87.5,0,1,0.8,1,1,9,1.04,0,1,0
90,13,43,2.56494935746154,3.76120011569356,0,1,0,0,0,53.1428571428571,54.4715447154472,100,0,0.6,1,0.6,1.3,3.39,1,1,1
180,13,71,2.56494935746154,4.26267987704132,0,1,0,0,0,47.6190476190476,40,50,1,0.6,1,0.6,1.25,3.75,1,1,1
180,13,46,2.56494935746154,3.8286413964891,0,1,0,0,0,42.8571428571429,40.4255319148936,0,1,0.8,1,0.6,1.22,4,1,1,1
360,13,15,2.56494935746154,2.70805020110221,0,1,0,0,0,55.8823529411765,56.25,0,1,0.8,1,0.6,1.44,2.75,1,1,1
600,13,14,2.56494935746154,2.63905732961526,0,1,0,0,0,67.0731707317073,65.9574468085106,100,1,0.8,1,0.8,1.72,2.1,1,1,1
1000,13,2,2.56494935746154,0.693147180559945,1,1,0,0,0,81.0344827586207,74.1176470588235,50,1,1,1,1,3.2,1.36,0,1,0
90,10,82,2.30258509299405,4.40671924726425,0,1,0,0,0,43.1818181818182,27.2727272727273,100,0,0.8,1,0.6,1.11,6,1,1,1
180,10,76,2.30258509299405,4.33073334028633,0,1,0,0,0,45.3488372093023,40.8163265306122,50,1,0.8,1,0.6,1.11,6,1,1,1
180,10,84,2.30258509299405,4.43081679884331,0,1,0,0,0,49.238578680203,51.5151515151515,100,1,0.8,1,0.8,1.14,5,1,1,1
360,10,2,2.30258509299405,0.693147180559945,0,1,0,0,0,80.2395209580838,75,0,1,0.8,1,1,4,1.25,0,0,1
600,10,12,2.30258509299405,2.484906649788,0,1,0,0,0,67.4418604651163,66.6666666666667,100,1,0.8,1,0.8,1.61,2.25,1,1,1
1000,10,55,2.30258509299405,4.00733318523247,1,1,0,0,0,60,67.0886075949367,50,1,1,1,1,1.61,2.25,1,1,1
90,7,45,1.94591014905531,3.80666248977032,0,0,0,1,0,63.8888888888889,71.3615023474178,50,1,1,1,0.6,1.19,4.33,1,1,1
180,7,16,1.94591014905531,2.77258872223978,0,0,0,1,0,56.1904761904762,61.3636363636364,50,1,1,1,0.8,1.5,2.5,1,0,0
45,5,177,1.6094379124341,5.17614973257383,0,0,0,1,0,50,52.8571428571429,50,0,0.8,0,0.4,1.3,3.39,1,1,1
45,5,232,1.6094379124341,5.44673737166631,0,0,0,1,0,51.2820512820513,55.5555555555556,50,1,0.8,1,0.8,1.08,7,1,1,1
90,5,62,1.6094379124341,4.12713438504509,0,0,0,1,0,45.0549450549451,44.6428571428571,100,1,0.8,1,0.4,1.14,5,1,1,1
150,5,7,1.6094379124341,1.94591014905531,0,0,0,1,0,62.9757785467128,70.3225806451613,100,1,0.8,1,0.8,1.72,2,1,1,1
250,5,15,1.6094379124341,2.70805020110221,0,0,0,1,0,64.0350877192982,61.5384615384615,100,1,0.8,1,0.8,1.66,2.2,1,1,1
90,5,27,1.6094379124341,3.29583686600433,0,0,0,1,0,56.6433566433566,45,50,1,1,1,0.6,1.28,3.5,1,1,1
180,5,18,1.6094379124341,2.89037175789616,0,0,0,1,0,55.5555555555556,53.8461538461538,50,1,1,1,0.8,1.28,3.5,1,1,1
360,5,2,1.6094379124341,0.693147180559945,0,0,0,1,0,81.0055865921788,90.3508771929825,50,1,1,1,1,8,1.07,0,1,0
90,6,38,1.79175946922805,3.63758615972639,0,0,0,1,0,43.010752688172,42.4242424242424,50,0,0.8,1,0.6,1.07,7.5,1,1,1
180,6,23,1.79175946922805,3.13549421592915,0,0,0,1,0,57.7092511013216,62.9213483146067,100,1,0.8,1,0.4,1.2,4.33,1,1,1
360,6,36,1.79175946922805,3.58351893845611,0,0,0,1,0,69.0184049079755,73.0392156862745,100,1,0.8,1,0.6,1.33,3.4,1,0,0
90,6,123,1.79175946922805,4.81218435537242,1,0,0,1,0,0,0,50,0,0.6,0,0,1.03,11,1,1,1
90,6,306,1.79175946922805,5.72358510195238,1,0,0,1,0,100,100,50,1,0.6,1,0.2,1.01,13,1,1,1
180,6,129,1.79175946922805,4.85981240436167,1,0,0,1,0,40,41.6666666666667,50,1,0.8,1,0.6,1.05,9,1,1,1
360,6,51,1.79175946922805,3.93182563272433,1,0,0,1,0,57.1428571428571,58.0645161290323,0,1,0.8,1,0.6,1.36,3,1,1,1
720,6,125,1.79175946922805,4.8283137373023,1,0,0,1,0,59.2592592592593,54.4303797468354,100,1,0.8,1,0.8,1.53,2.5,1,1,1
1200,6,2,1.79175946922805,0.693147180559945,1,0,0,1,0,83.0769230769231,90.5511811023622,33.3333333333333,1,1,1,1,8.5,1.06,0,1,0
45,4,86,1.38629436111989,4.45434729625351,0,0,1,0,0,40,40,50,0,0.8,1,0.4,1.1,6.5,1,1,1
45,4,43,1.38629436111989,3.76120011569356,0,0,1,0,0,51.5789473684211,60,100,1,0.8,1,0.6,1.14,5,1,0,0
90,5,47,1.6094379124341,3.85014760171006,1,0,1,0,0,29.4117647058824,0,50,0,0.6,0,0.6,1.03,11,1,1,1
90,5,67,1.6094379124341,4.20469261939097,1,0,1,0,0,44.4444444444444,33.3333333333333,50,1,0.6,1,0.4,1.04,9,1,1,1
180,5,1065,1.6094379124341,6.97073007814353,1,0,1,0,0,61.3636363636364,67.741935483871,50,1,0.6,1,0.8,1.16,4.5,1,1,1
360,5,19,1.6094379124341,2.94443897916644,1,0,1,0,0,78.0701754385965,85,0,1,0.8,1,0.6,2.1,1.72,0,0,1
720,5,16,1.6094379124341,2.77258872223978,1,0,1,0,0,67.6470588235294,70,100,1,0.8,1,0.8,1.57,2.37,1,1,1
45,3,182,1.09861228866811,5.2040066870768,0,0,0,1,0,40,40,50,1,1,0,0.4,1.03,11,1,1,1
45,3,176,1.09861228866811,5.17048399503815,0,0,0,1,0,25,0,50,1,1,0,0.2,1.01,13,1,0,0
90,4,254,1.38629436111989,5.53733426701854,0,1,0,0,0,56.353591160221,60.4838709677419,100,0,0.8,1,0.8,1.25,3.75,1,1,1
180,4,26,1.38629436111989,3.25809653802148,0,1,0,0,0,62.4365482233503,62.1621621621622,50,1,0.8,1,0.6,1.36,3,1,1,1
360,4,3,1.38629436111989,1.09861228866811,0,1,0,0,0,79.2168674698795,81.1659192825112,50,1,0.8,1,1,1.66,2.2,1,1,1
600,4,2,1.38629436111989,0.693147180559945,0,1,0,0,0,81.9095477386935,75,25,1,0.8,1,1,2.2,1.66,0,0,1
1000,4,1,1.38629436111989,0,0,1,0,0,0,85.7585139318885,87.2146118721461,0,1,0.8,1,1,4.33,1.22,0,0,1
90,3,19,1.09861228866811,2.94443897916644,0,1,0,0,0,69.2982456140351,63.448275862069,50,1,1,1,0.8,1.16,4.5,1,0,0
90,3,95,1.09861228866811,4.55387689160054,1,1,0,0,0,0,50,50,0,0.8,0,0.6,1.02,12,1,1,1
90,3,35,1.09861228866811,3.55534806148941,1,1,0,0,0,59.5744680851064,51.685393258427,0,1,0.8,1,0.6,1.08,7,1,1,1
180,3,57,1.09861228866811,4.04305126783455,1,1,0,0,0,50,59.2592592592593,50,1,0.8,1,0.6,1.16,4.5,1,1,1
360,3,23,1.09861228866811,3.13549421592915,1,1,0,0,0,45.4545454545455,41.9354838709677,100,1,0.8,1,0.8,1.08,7,1,1,1
