"Match_Importance","Rank_Djo","Rank_Opp","Log_Rank_Djo","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Odd_Djo","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,3,114,1.09861228866811,4.7361984483945,1,0,0,1,0,0,0,50,0,0.6,0,0.2,1.01,29,1,1,1
90,3,83,1.09861228866811,4.4188406077966,1,0,0,1,0,51.063829787234,46.969696969697,100,1,0.8,1,0.6,1.05,11,1,1,1
180,3,34,1.09861228866811,3.52636052461616,1,0,0,1,0,58.6206896551724,57.1428571428571,50,1,0.8,1,0.6,1.13,6,1,1,1
360,3,94,1.09861228866811,4.54329478227,1,0,0,1,0,100,70,50,1,0.8,1,0.6,1.03,15,1,1,1
720,3,11,1.09861228866811,2.39789527279837,1,0,0,1,0,69.2307692307692,57.4257425742574,87.5,1,0.8,1,0.8,1.08,8,1,1,1
1200,3,1,1.09861228866811,0,1,0,0,1,0,82.3529411764706,83.3333333333333,0,1,1,1,1,2.63,1.5,0,0,1
2000,3,4,1.09861228866811,1.38629436111989,1,0,0,1,0,66.6666666666667,73.7588652482269,100,1,1,1,1,1.2,4.8,1,1,1
